GRD Ref,Parent,Source Title,Short Source Title,Source Description,Archival Ref,Archive,Type
AF,,"A. Fleming, Swaledale; valley of the wild river, (Edinburgh, 1998).","Fleming, Swaledale",,,,Book
AF128,,"A. Fleming, Swaledale; valley of the wild river, (Edinburgh, 1998).","Fleming, Swaledale",,p. 128,,Book
AGD,,"A.G. Dickens, Lollards and Protestants in the Diocese of York 1509-1558 (London, 1959). ","Dickens, Lollards and Protestants",,,,Book
AGD232,,"A.G. Dickens, Lollards and Protestants in the Diocese of York 1509-1558 (London, 1959). ","Dickens, Lollards and Protestants",,p. 232,,Book
AND,,"C.R. Andrews, The Story of Wortley Ironworks, (Mexborough, 1956).","Andrews, Wortley Ironworks",,,,Book
AND22,,"C.R. Andrews, The Story of Wortley Ironworks, (Mexborough, 1956).","Andrews, Wortley Ironworks",,p. 22,,Book
AND82,,"C.R. Andrews, The Story of Wortley Ironworks, (Mexborough, 1956).","Andrews, Wortley Ironworks",,p. 82,,Book
AR,,"A. Raistrick and E. Allen, 'The South Yorkshire Ironmasters (1690-1750)', Economic History Review Vol. 9 No. 2 (May 1939).","Raistrick, South Yorkshire Ironmasters",,pp. 168-185,,Book
AR169,,"A. Raistrick and E. Allen, 'The South Yorkshire Ironmasters (1690-1750)', Economic History Review Vol. 9 No. 2 (May 1939).","Raistrick, South Yorkshire Ironmasters",,p. 169,,Book
AW,,"Angus J. L. Winchester, The Harvest of the Hills: Rural life in Northern England and the Scottish Borders 1400-1700, (Edinburgh, 2000).","Winchester, Harvest of the Hills",,,,Book
AW115,,"Deposition of James Welch, 7 April 1608","James Welch's deposition, 1608",,DDCl/688,Lancashire Archives,Archival
AW128,,Hornby court book II,Hornby court book II,,"Hornby court book II, f. 122v","Hornby Castle Muniments, Hornby Castle",Archival
AW138/1,,Litton court rolls [1587],Litton court rolls [1587],,YAS/DD/121/1/2 f. 24 ,"Special Collections, Brotherton Library, University of Leeds",Archival
AW138/2,,Lartington manor court rolls,Lartington manor court rolls,,"ZPS 1/26, 1/45, 1/61",North Yorkshire County Record Office,Archival
AW139,,"Angus J. L. Winchester, The Harvest of the Hills: Rural life in Northern England and the Scottish Borders 1400-1700, (Edinburgh, 2000).","Winchester, Harvest of the Hills",,p. 139,,Book
AW158/1,,"Mickleton manor court roll, 1453",Mickleton manor court roll 1453,,D/St/E3/1/4,Durham Record Office,Archival
AW158/2,,Fountains Abbey rental [fifteenth century] ,Fountains Abbey rental,,Add 40010 f. 186,British Library,Archival
AW173,,Litton court rolls [1587],Litton court rolls [1587],,YAS/DD/121/1/2 f. 24,"Special Collections, Brotherton Library, University of Leeds",Archival
AW37,,Langstroth court rolls 1552-53,Langstroth court rolls 1552-53,,YAS/DD/121/1/1,"Special Collections, Brotherton Library, University of Leeds",Archival
AW45/1,,Buckden and Sterbotten court rolls [1545-1591],Buckden and Sterbotten court rolls [1545-1591],,YAS/DD/121/1/3 f. 22,"Special Collections, Brotherton Library, University of Leeds",Archival
AW45/2,,Lartington manor court roll 1483-84,Lartington manor court roll 1483-84,,ZPS 1/17,North Yorkshire County Record Office,Archival
AW45/3,,Slaidburn manor court roll 1392/3,Slaidburn manor court roll 1392/3,,DDHCL/5/1,Lancashire Archives,Archival
AW47,,Cotherstone with Hunderthwaite manor court rolls 1525-1526,Cotherstone with Hunderthwaite manor court rolls 1525-26,,D/Bo/A.801 f. 7,Durham Record Office,Archival
AW55,,Lartington manor court roll 8 July 1444,Lartington manor court roll 1444,,ZPS 1/8,North Yorkshire County Record Office,Archival
AW57,,Buckden and Sterbotten court rolls [1545-1591],Buckden and Sterbotten court rolls [1545-1591],,YAS/DD/121/1/3 f. 16,"Special Collections, Brotherton Library, University of Leeds",Archival
AW71,,"Angus J. L. Winchester, The Harvest of the Hills: Rural life in Northern England and the Scottish Borders 1400-1700, (Edinburgh, 2000).","Winchester, Harvest of the Hills",,,,Book
BAS,,The Bradford Antiquary.,Bradford Antiquary,"The journal of the Bradford Historical & Antiquarian Society, in three series. ",,,Book
BAS1,,The Bradford Antiquary vol. 1,Bradford Antiquary vol. 1,,,,Book
BAS1/202,The Bradford Antiquary vol. 1,"Will of William Illingworth of Bradford, 5 December 1450",William Illingworth's will 1450,,Prob Reg 2 f. 212,Borthwick Institute for Archives,Archival
BAS1/24,The Bradford Antiquary vol. 1,"Will of Thomas Gybson of Wibsey p. Bradford, 13 April 1570",Thomas Gybson's will 1570,,Prob Reg 18 f. 185,Borthwick Institute for Archives,Archival
BAS1/261,The Bradford Antiquary vol. 1,"Abstract of deed for conveyance of land in Ovenden, 1483",Abstract of Ovenden deed for conveyance 1483,"Possibly part of YAS/DD36 Bonds, deeds and indentures relating to land near Halifax.",SH:6/LD/47,West Yorkshire Archive Service: Calderdale ,Archival
BAS1/272,The Bradford Antiquary vol. 1,The Bradford Antiquary vol. 1,Bradford Antiquary vol. 1,,p. 272,,Book
BAS1/53,The Bradford Antiquary vol. 1,The Bradford Antiquary vol. 1,Bradford Antiquary vol. 1,,p. 53,,Book
BAS1/54,The Bradford Antiquary vol. 1,The Bradford Antiquary vol. 1,Bradford Antiquary vol. 1,,p. 54,,Book
BAS10/106,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 106,,Book
BAS10/128,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 128,,Book
BAS10/245,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 245,,Book
BAS10/246,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 246,,Book
BAS10/246-7,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 246-7,,Book
BAS10/247,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 247,,Book
BAS10/252,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 252,,Book
BAS10/253,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 253,,Book
BAS10/26-7,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 26-7,,Book
BAS10/287,The Bradford Antiquary vol. 10,The Bradford Antiquary vol. 10,Bradford Antiquary vol. 10,,p. 287,,Book
BAS11/162,The Bradford Antiquary vol. 11,The Bradford Antiquary vol. 11,Bradford Antiquary vol. 11,,p. 162,,Book
BAS11/173,The Bradford Antiquary vol. 11,The Bradford Antiquary vol. 11,Bradford Antiquary vol. 11,,p. 173,,Book
BAS2/171/1,The Bradford Antiquary vol. 2,"Will of Thomas Calverley of Calverley, 3 December 1501",Thomas Calverley's will 1501,,Prob Reg 6 f. 22,Borthwick Institute of Archives,Archival
BAS2/171/2,The Bradford Antiquary vol. 2,"Will of Robert Calverley senior of Calverley, 13 April 1499",Robert Calverley Senior's will 1499,,Prob Reg 5 f. 518,Borthwick Institute of Archives,Archival
BAS2/247,The Bradford Antiquary vol. 2,"Will of William Machon of Bradford, 3 July 1536",William Machon's will 1536,,Prob Reg 11 f. 209,Borthwick Institute of Archives,Archival
BAS2/60,The Bradford Antiquary vol. 2,"Extent of Bradford manor, with other manors, 1341-1342",Extent of Bradford manor 1341-42,,DL 43/10/5,The National Archives,Archival
BAS2/61,The Bradford Antiquary vol. 2,"Extent of Bradford manor, with other manors, 1341-1342",Extent of Bradford manor 1341-42,,DL 43/10/5,The National Archives,Archival
BAS3/471,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 471,,Book
BAS3/474,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 474,,Book
BAS3/480,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 480,,Book
BAS3/482,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 482,,Book
BAS3/484,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 484,,Book
BAS3/486,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 486,,Book
BAS3/488,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 488,,Book
BAS3/490,The Bradford Antiquary vol. 3,The Bradford Antiquary vol. 3,Bradford Antiquary vol. 3,,p. 490,,Book
BAS5/198,The Bradford Antiquary vol. 5,The Bradford Antiquary vol. 5,Bradford Antiquary vol. 5,,p. 198,,Book
BAS5/291,The Bradford Antiquary vol. 5,The Bradford Antiquary vol. 5,Bradford Antiquary vol. 5,,p. 291,,Book
BAS5/375,The Bradford Antiquary vol. 5,The Bradford Antiquary vol. 5,Bradford Antiquary vol. 5,,p. 375,,Book
BAS5/380,The Bradford Antiquary vol. 5,The Bradford Antiquary vol. 5,Bradford Antiquary vol. 5,,p. 380,,Book
BAS6/138,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 138,,Book
BAS6/139,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 139,,Book
BAS6/141,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 141,,Book
BAS6/141-2,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 141-2,,Book
BAS6/142,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 142,,Book
BAS6/145,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 145,,Book
BAS6/146,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 146,,Book
BAS6/146-7,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 146-7,,Book
BAS6/147,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 147,,Book
BAS6/275,The Bradford Antiquary vol. 6,The Bradford Antiquary vol. 6,Bradford Antiquary vol. 6,,p. 275,,Book
BAS7/192,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 192,,Book
